id	element	costtype	cost	area	passive
115	10	2	3.0	2	0
116	10	2	0.0	2	0
117	10	0	0.0	2	0
118	10	0	0.0	2	0
119	0	1	20.0	2	0
120	2	2	18.0	2	0
121	2	2	30.0	2	0
122	255	0	1.0	2	1
123	255	0	1.0	2	1
124	255	0	1.0	2	1
125	255	0	1.0	2	1
126	255	0	1.0	2	1
127	255	0	1.0	2	1
128	255	0	1.0	2	1
129	255	0	1.0	2	1
130	3	2	18.0	2	0
131	3	2	30.0	2	0
132	255	0	1.0	2	1
133	255	0	1.0	2	1
134	255	0	1.0	2	1
135	255	0	1.0	2	1
136	255	0	1.0	2	1
137	255	0	1.0	2	1
138	255	0	1.0	2	1
139	255	0	1.0	2	1
140	5	2	15.0	2	0
141	5	2	26.0	2	0
142	255	0	1.0	2	1
143	255	0	1.0	2	1
144	255	0	1.0	2	1
145	255	0	1.0	2	1
146	255	0	1.0	2	1
147	255	0	1.0	2	1
148	255	0	1.0	2	1
149	255	0	1.0	2	1
150	4	2	18.0	2	0
151	4	2	30.0	2	0
152	255	0	1.0	2	1
153	255	0	1.0	2	1
154	255	0	1.0	2	1
155	255	0	1.0	2	1
156	255	0	1.0	2	1
157	255	0	1.0	2	1
158	255	0	1.0	2	1
159	255	0	1.0	2	1
160	8	2	38.0	2	0
161	8	2	40.0	2	0
162	255	0	1.0	2	1
163	255	0	1.0	2	1
164	255	0	1.0	2	1
165	255	0	1.0	2	1
166	10	1	25.0	2	0
167	10	2	99.0	2	0
168	10	2	38.0	2	0
169	10	1	25.0	2	0
170	9	2	38.0	2	0
171	9	2	40.0	2	0
172	21	0	0.0	2	1
173	21	0	0.0	2	1
174	21	0	0.0	2	1
175	21	0	0.0	2	1
176	7	2	18.0	2	0
177	7	2	30.0	2	0
178	20	2	3.0	2	0
179	20	2	3.0	2	0
180	10	2	48.0	2	0
181	10	2	55.0	2	0
182	10	2	50.0	2	0
183	20	2	10.0	3	0
184	21	2	22.0	2	0
185	21	2	20.0	2	0
186	21	2	10.0	2	0
187	21	2	15.0	2	0
188	21	2	20.0	2	0
189	21	2	15.0	2	0
190	6	2	4.0	2	0
191	6	2	8.0	2	0
192	6	2	12.0	2	0
193	6	2	10.0	2	0
194	6	2	16.0	2	0
195	6	2	22.0	2	0
196	21	0	0.0	2	0
197	6	2	18.0	2	0
198	6	2	30.0	2	0
199	10	0	0.0	2	0
200	0	1	5.0	2	0
201	0	1	13.0	2	0
202	0	1	16.0	2	0
203	0	1	25.0	2	0
204	0	1	5.0	2	0
205	0	1	3.0	2	0
206	0	1	8.0	2	0
207	0	1	14.0	2	0
208	0	1	16.0	2	0
209	10	1	0.0	2	0
210	0	1	6.0	2	0
211	0	1	9.0	2	0
212	0	1	24.0	2	0
213	0	1	21.0	2	0
214	20	2	27.0	2	0
215	0	1	25.0	2	0
216	0	1	25.0	2	0
217	0	1	20.0	2	0
218	21	2	8.0	2	0
219	255	0	1.0	2	0
220	0	1	10.0	2	0
221	0	1	14.0	2	0
222	0	1	18.0	2	0
223	7	2	54.0	2	0
224	1	1	9.0	2	0
225	1	1	16.0	2	0
226	1	1	17.0	2	0
227	1	1	24.0	2	0
228	1	1	12.0	2	0
229	10	2	38.0	2	0
230	0	1	13.0	2	0
231	0	1	23.0	2	0
232	21	2	8.0	2	0
233	21	2	15.0	2	0
234	21	2	15.0	2	0
235	0	1	18.0	2	0
236	0	1	20.0	2	0
237	0	1	25.0	2	0
238	6	2	54.0	2	0
239	8	2	12.0	2	0
240	21	0	0.0	2	0
241	0	1	13.0	2	0
242	0	1	17.0	2	0
243	0	1	22.0	2	0
244	0	1	24.0	2	0
245	21	0	0.0	2	0
246	20	0	1.0	2	0
247	0	0	0.0	2	0
248	0	0	0.0	2	0
249	8	0	0.0	2	0
250	0	1	10.0	2	0
251	0	1	10.0	2	0
252	21	2	24.0	2	0
253	0	1	17.0	2	0
254	0	1	20.0	2	0
255	21	2	15.0	2	0
256	21	2	15.0	2	0
257	0	1	25.0	2	0
258	20	2	24.0	2	0
259	21	0	0.0	2	0
260	0	1	10.0	2	0
261	0	1	10.0	2	0
262	0	1	8.0	2	0
263	0	1	9.0	2	0
264	0	0	0.0	2	0
265	1	1	8.0	2	0
266	0	1	9.0	2	0
267	0	1	12.0	2	0
268	0	1	9.0	2	0
269	10	0	0.0	2	0
270	0	1	19.0	2	0
271	0	1	19.0	2	0
272	0	1	22.0	2	0
273	0	1	15.0	2	0
274	0	1	18.0	2	0
275	0	1	16.0	2	0
276	0	1	16.0	2	0
277	0	1	21.0	2	0
278	0	1	22.0	2	0
279	0	1	25.0	2	0
280	1	0	0.0	2	0
281	1	0	0.0	2	0
282	1	0	0.0	2	0
283	1	0	0.0	2	0
284	1	0	0.0	2	0
285	1	0	0.0	2	0
286	1	0	0.0	2	0
287	1	0	0.0	2	0
288	1	0	0.0	2	0
289	21	0	0.0	2	0
290	21	2	80.0	2	0
291	0	1	16.0	2	0
292	21	2	90.0	2	0
293	21	2	90.0	2	0
294	21	2	80.0	2	0
295	21	0	0.0	2	1
296	21	2	95.0	2	0
297	10	2	99.0	2	0
298	0	1	25.0	2	0
299	10	2	20.0	2	0
300	20	2	3.0	3	0
301	20	2	6.0	3	0
302	20	2	18.0	3	0
303	21	2	16.0	2	0
304	10	0	0.0	2	0
305	20	2	7.0	3	0
306	20	2	12.0	3	0
307	20	2	30.0	3	0
308	1	0	0.0	2	0
309	9	2	12.0	2	0
310	20	2	8.0	2	0
311	20	2	18.0	2	0
312	20	2	0.0	2	0
313	21	0	0.0	2	1
314	21	0	0.0	2	1
315	20	2	6.0	2	0
316	20	2	12.0	2	0
317	8	2	12.0	2	0
318	20	2	48.0	3	0
319	7	2	12.0	2	0
320	6	2	12.0	2	0
321	21	2	4.0	2	0
322	5	2	10.0	2	0
323	21	2	4.0	2	0
324	4	2	12.0	2	0
325	20	2	4.0	2	0
326	3	2	12.0	2	0
327	20	2	8.0	2	0
328	20	2	4.0	2	0
329	20	2	4.0	2	0
330	20	2	8.0	2	0
331	20	2	8.0	2	0
332	21	2	15.0	2	0
333	21	2	15.0	2	0
334	2	2	12.0	2	0
335	21	2	8.0	2	0
336	21	2	8.0	2	0
337	21	2	8.0	2	0
338	21	2	30.0	2	0
339	1	1	17.0	2	0
340	21	2	24.0	2	0
341	21	2	24.0	2	0
342	21	2	24.0	2	0
343	21	2	30.0	2	0
344	0	1	16.0	2	0
345	21	2	8.0	2	0
346	21	2	8.0	2	0
347	21	2	8.0	2	0
348	21	2	30.0	2	0
349	255	0	1.0	2	0
350	21	2	24.0	2	0
351	21	2	24.0	2	0
352	21	2	24.0	2	0
353	21	0	0.0	2	0
354	21	0	0.0	2	0
355	21	2	10.0	2	0
356	21	2	10.0	2	0
357	10	0	0.0	2	0
358	10	0	0.0	2	0
359	0	0	0.0	2	0
360	21	2	15.0	2	0
361	21	2	15.0	2	0
362	0	0	0.0	2	0
363	21	2	8.0	2	0
364	21	2	8.0	2	0
365	21	2	5.0	2	0
366	21	2	5.0	2	0
367	10	0	1.0	2	0
368	255	0	1.0	2	0
369	21	0	0.0	2	0
370	21	2	24.0	2	0
371	21	2	24.0	2	0
372	21	2	24.0	2	0
373	21	0	0.0	2	0
374	255	0	1.0	2	0
375	21	2	9.0	2	0
376	21	2	9.0	2	0
377	10	0	0.0	2	0
378	10	0	0.0	2	0
379	10	0	0.0	2	0
380	21	2	18.0	2	0
381	21	2	18.0	2	0
382	21	2	18.0	2	0
383	21	2	18.0	2	0
384	255	0	0.0	2	255
385	21	2	6.0	2	0
386	21	2	6.0	2	0
387	21	2	6.0	2	0
388	21	2	6.0	2	0
389	255	0	0.0	2	255
390	21	2	24.0	2	0
391	21	2	18.0	1	0
392	21	0	0.0	2	0
393	21	2	18.0	2	0
394	21	2	18.0	2	0
395	21	2	6.0	2	0
396	21	2	6.0	2	0
397	255	0	0.0	2	255
398	255	0	0.0	2	255
399	21	0	0.0	2	0
400	10	0	0.0	2	0
401	10	0	0.0	2	0
402	10	0	0.0	2	0
403	21	0	0.0	2	0
404	0	0	0.0	2	255
405	10	0	0.0	2	0
406	255	0	1.0	2	0
407	255	0	1.0	2	0
408	255	0	0.0	2	255
409	255	0	0.0	2	0
410	10	0	0.0	2	0
411	10	0	0.0	2	0
412	10	0	0.0	2	0
413	10	0	0.0	2	0
414	10	0	0.0	2	0
415	10	0	0.0	2	0
416	10	0	0.0	2	0
417	255	0	0.0	2	0
418	255	0	0.0	2	0
419	10	0	0.0	2	0
420	10	0	0.0	2	0
421	10	0	0.0	2	0
422	10	0	0.0	2	0
423	10	0	0.0	2	0
424	10	0	0.0	2	0
425	10	0	0.0	2	0
426	10	0	0.0	2	0
427	255	0	0.0	2	0
428	255	0	0.0	2	0
429	255	0	0.0	2	0
430	21	2	1.0	2	0
431	21	0	0.0	2	1
432	21	0	0.0	2	1
433	21	0	0.0	2	1
434	21	0	0.0	2	1
435	21	0	0.0	2	1
436	21	0	0.0	2	1
437	21	0	0.0	2	1
438	21	0	0.0	2	1
439	21	0	0.0	2	1
440	21	0	0.0	2	1
441	21	0	0.0	2	1
442	21	0	0.0	2	1
443	21	0	0.0	2	1
444	21	0	0.0	2	1
445	10	0	0.0	2	0
446	5	0	0.0	2	0
447	0	0	0.0	2	0
448	0	0	0.0	2	0
449	21	0	0.0	2	0
450	20	0	0.0	2	0
451	0	0	0.0	2	0
452	0	0	0.0	2	0
453	10	0	0.0	2	0
454	0	0	0.0	2	0
455	5	0	0.0	2	0
456	2	0	0.0	2	0
457	3	0	0.0	2	0
458	4	0	0.0	2	0
459	9	0	0.0	2	0
460	15	0	0.0	2	0
461	1	0	0.0	2	0
462	2	0	0.0	2	0
463	15	0	0.0	2	0
464	22	0	0.0	2	0
465	10	0	0.0	2	0
466	0	0	0.0	2	0
467	5	0	0.0	2	0
468	22	0	0.0	2	0
469	0	0	0.0	2	0
470	10	0	0.0	2	0
471	0	0	0.0	2	0
472	21	0	0.0	2	0
473	10	0	0.0	2	0
474	255	0	0.0	2	0
475	255	0	0.0	2	0
476	10	0	1.0	2	0
477	10	0	0.0	2	0
478	0	0	0.0	2	0
479	0	0	0.0	2	0
480	1	0	0.0	2	0
481	10	0	0.0	2	0
482	10	0	0.0	2	0
483	10	0	0.0	2	0
484	255	0	0.0	2	0
485	21	0	0.0	2	0
486	21	0	0.0	2	0
487	21	0	0.0	2	0
488	0	0	0.0	2	0
489	21	0	0.0	2	0
490	10	0	0.0	2	0
491	21	0	0.0	2	0
492	10	0	0.0	2	0
493	10	0	0.0	2	0
494	10	0	0.0	2	0
495	21	0	0.0	2	0
496	10	0	0.0	2	0
497	0	0	0.0	2	0
498	21	0	0.0	2	0
499	10	0	0.0	2	0
500	20	0	1.0	3	0
501	20	0	1.0	3	0
502	20	0	1.0	3	0
503	20	0	1.0	3	0
504	20	0	1.0	3	0
505	20	0	1.0	3	0
506	20	0	1.0	3	0
507	20	0	1.0	3	0
508	20	0	1.0	3	0
509	20	0	1.0	3	0
510	20	0	1.0	3	0
511	20	0	1.0	3	0
512	20	0	1.0	3	0
513	20	0	1.0	3	0
514	20	0	1.0	2	0
515	20	0	1.0	2	0
516	20	0	1.0	3	0
517	20	0	1.0	2	0
518	20	0	1.0	2	0
519	20	0	1.0	2	0
520	20	0	1.0	1	0
521	21	0	1.0	1	0
522	21	0	1.0	2	0
523	20	0	1.0	3	0
524	20	0	1.0	2	0
525	20	0	1.0	2	0
526	20	0	1.0	2	0
527	20	0	1.0	2	0
528	20	0	1.0	2	0
529	20	0	1.0	2	0
530	21	0	1.0	2	0
531	21	0	1.0	2	0
532	21	0	1.0	2	0
533	21	0	1.0	2	0
534	21	0	1.0	2	0
535	21	0	1.0	2	0
536	21	0	1.0	2	0
537	2	0	1.0	2	0
538	2	0	1.0	2	0
539	3	0	1.0	2	0
540	3	0	1.0	2	0
541	5	0	1.0	2	0
542	5	0	1.0	2	0
543	4	0	1.0	2	0
544	4	0	1.0	2	0
545	10	0	1.0	2	0
546	8	0	1.0	2	0
547	9	0	1.0	2	0
548	2	0	1.0	2	0
549	5	0	1.0	2	0
550	3	0	1.0	2	0
551	4	0	1.0	2	0
552	20	0	1.0	2	0
553	20	0	1.0	2	0
554	8	0	8.0	2	0
555	8	0	10.0	2	0
556	9	0	8.0	2	0
557	9	0	10.0	2	0
558	6	0	8.0	2	0
559	6	0	10.0	2	0
560	7	0	8.0	2	0
561	7	0	10.0	2	0
562	7	0	10.0	2	0
563	6	0	10.0	2	0
564	8	0	48.0	2	0
565	9	0	54.0	2	0
566	20	0	6.0	3	0
567	20	0	6.0	3	0
568	20	0	1.0	1	0
569	20	0	1.0	1	0
570	20	0	1.0	1	0
571	20	0	1.0	3	0
572	20	0	1.0	2	0
573	20	0	1.0	2	0
574	20	0	1.0	2	0
575	20	0	1.0	2	0
576	20	0	1.0	2	0
577	20	0	1.0	2	0
578	20	0	1.0	2	0
579	20	0	1.0	2	0
580	20	0	1.0	2	0
581	20	0	1.0	2	0
582	20	0	1.0	2	0
583	20	0	1.0	2	0
584	20	0	1.0	2	0
585	20	0	1.0	2	0
586	20	0	1.0	2	0
587	20	0	1.0	2	0
588	20	0	1.0	2	0
589	20	0	1.0	2	0
590	20	0	1.0	2	0
591	20	0	1.0	2	0
592	20	0	1.0	2	0
593	20	0	1.0	2	0
594	20	0	1.0	2	0
595	20	0	1.0	2	0
596	20	0	1.0	2	0
597	20	0	1.0	1	0
598	21	0	1.0	2	0
599	10	1	10.0	2	0
600	10	0	0.0	2	0
601	0	0	0.0	2	0
602	0	0	0.0	2	0
603	10	0	0.0	2	0
604	10	0	0.0	2	0
605	10	0	0.0	2	0
606	10	0	0.0	2	0
607	10	0	0.0	2	0
608	10	0	0.0	2	0
609	10	0	0.0	2	0
610	10	0	0.0	2	0
611	21	0	0.0	2	0
612	10	0	0.0	2	0
613	21	0	0.0	2	0
614	10	0	0.0	2	0
615	21	0	0.0	2	0
616	21	0	0.0	2	0
617	21	0	0.0	2	0
618	10	0	0.0	2	0
619	10	0	0.0	2	0
620	21	2	18.0	2	0
621	21	2	18.0	2	0
622	21	2	18.0	2	0
623	0	0	0.0	2	0
624	1	0	0.0	2	0
625	21	2	18.0	2	0
626	10	0	0.0	2	0
627	10	0	0.0	2	0
628	10	0	0.0	2	0
629	10	0	0.0	2	0
630	21	0	0.0	2	0
631	10	0	0.0	2	0
632	10	0	0.0	2	0
633	10	0	0.0	2	0
634	21	0	0.0	2	0
635	21	0	0.0	2	0
636	10	0	0.0	2	0
637	10	0	0.0	2	0
638	20	0	0.0	2	0
639	10	0	0.0	2	0
640	21	0	0.0	2	1
641	21	0	0.0	2	1
642	21	0	0.0	2	1
643	21	0	0.0	2	1
644	21	0	0.0	2	1
645	21	0	0.0	2	1
646	21	0	0.0	2	1
647	21	0	0.0	2	1
648	21	0	0.0	2	1
649	21	0	0.0	2	1
650	1	0	0.0	2	0
651	10	0	0.0	2	0
652	10	0	0.0	2	0
653	10	0	0.0	2	0
654	21	0	0.0	2	0
655	10	0	0.0	2	0
656	10	2	10.0	2	0
657	10	2	14.0	2	0
658	10	0	0.0	2	0
659	10	0	0.0	2	0
660	10	0	0.0	2	0
661	1	0	0.0	2	0
662	10	0	0.0	2	0
663	10	0	0.0	2	0
664	255	0	1.0	2	0
665	10	0	0.0	2	0
666	20	0	1.0	2	0
667	20	0	0.0	2	0
668	20	0	0.0	2	0
669	20	0	1.0	3	0
670	21	0	1.0	2	0
671	21	0	1.0	2	0
672	0	0	0.0	2	0
673	10	0	0.0	2	0
674	21	0	0.0	2	0
675	21	0	0.0	2	0
676	10	0	0.0	2	0
677	10	0	0.0	2	0
678	10	0	0.0	2	0
679	17	0	0.0	2	0
680	0	0	0.0	2	0
681	10	0	0.0	2	0
682	10	0	0.0	2	0
683	20	0	0.0	2	0
684	0	0	0.0	2	0
685	1	0	0.0	2	0
686	0	0	0.0	2	0
687	10	2	38.0	2	0
688	0	1	23.0	2	0
689	10	2	38.0	2	0
690	20	0	1.0	1	0
691	20	0	1.0	1	0
692	20	0	1.0	1	0
693	20	0	1.0	1	0
694	20	0	1.0	1	0
695	10	0	0.0	2	0
696	10	0	0.0	2	0
697	20	0	1.0	2	0
698	20	0	1.0	2	0
699	20	0	1.0	2	0
700	20	0	1.0	2	0
701	20	0	1.0	2	0
702	20	0	1.0	2	0
703	21	2	18.0	2	0
704	20	2	24.0	2	0
705	0	1	20.0	2	0
706	10	2	32.0	2	0
707	9	2	30.0	2	0
708	8	2	22.0	2	0
709	0	1	20.0	2	0
710	2	2	34.0	2	0
711	9	2	30.0	2	0
712	20	2	38.0	3	0
713	10	2	40.0	2	0
714	20	2	24.0	2	0
715	0	1	20.0	2	0
716	16	2	4.0	2	0
717	12	2	3.0	2	0
718	21	2	10.0	2	0
719	21	2	10.0	2	0
720	10	0	15.0	2	0
721	10	0	15.0	2	0
722	10	0	15.0	2	0
723	0	0	0.0	2	0
724	10	0	16.0	2	0
725	10	0	17.0	2	0
726	10	0	48.0	2	0
727	10	0	48.0	2	0
728	8	2	22.0	2	0
729	10	2	38.0	2	0
730	20	0	1.0	1	0
731	20	0	1.0	1	0
732	20	0	1.0	2	0
733	20	0	1.0	2	0
734	10	0	0.0	2	0
735	10	0	0.0	2	0
736	21	0	0.0	2	1
737	21	0	0.0	2	1
738	21	0	0.0	2	1
739	21	0	0.0	2	1
740	21	0	0.0	2	1
741	21	0	0.0	2	1
742	21	0	0.0	2	1
743	21	0	0.0	2	1
744	21	0	0.0	2	1
745	21	0	0.0	2	1
746	21	0	0.0	2	1
747	21	0	0.0	2	1
748	21	0	0.0	2	1
749	21	0	0.0	2	1
750	21	0	0.0	2	1
751	21	0	0.0	2	1
752	21	0	0.0	2	1
753	21	0	0.0	2	1
754	21	0	0.0	2	1
755	21	0	0.0	2	1
756	21	0	0.0	2	1
757	21	0	0.0	2	1
758	21	0	0.0	2	1
759	21	0	0.0	2	1
760	21	0	0.0	2	1
761	19	2	5.0	2	0
762	19	0	0.0	2	0
763	21	0	0.0	2	0
764	20	2	3.0	2	0
765	20	2	3.0	2	0
766	0	0	0.0	2	0
767	21	0	0.0	2	0
768	0	1	21.0	2	0
769	0	1	13.0	2	0
770	0	1	8.0	2	0
771	3	2	12.0	2	0
772	6	2	12.0	2	0
773	4	2	16.0	2	0
774	4	2	22.0	2	0
775	9	2	16.0	2	0
776	9	2	22.0	2	0
777	10	2	99.0	2	0
778	10	2	38.0	2	0
779	0	1	23.0	2	0
780	10	2	0.0	2	0
781	10	2	0.0	2	0
782	10	2	0.0	2	0
783	10	2	0.0	2	0
784	10	2	0.0	2	0
785	10	2	0.0	2	0
786	10	2	0.0	2	0
787	10	2	0.0	2	0
788	255	0	0.0	2	255
789	10	2	0.0	2	0
790	10	2	0.0	2	0
791	10	2	0.0	2	0
792	10	2	0.0	2	0
793	10	2	0.0	2	0
794	10	2	0.0	2	0
795	10	2	0.0	2	0
796	10	2	0.0	2	0
797	10	2	0.0	2	0
798	255	2	0.0	2	255
799	10	2	0.0	2	0
